group_code,site_code,marine_site_name,marine_sort_order,latitude,longitude,marine_common_season,marine_season_code,marine_common_year,season_sequence,season_name,target_assemblage,method_code,species_code,size_sort_order,size_bin,total,mpa_designation,mpa_region,georegion,bioregion,state_province,island,last_updated
UCLA,ALEG,Alegria,6420,34.46714020,-120.27738,85,SP02,2002,1,Spring,sea_star,IP,PISOCH,3,20,1,reference,South Coast,CA South,Government Point to Mexico,California,Mainland,2019-04-05 20:07:59
UCLA,ALEG,Alegria,6420,34.46714020,-120.27738,85,SP02,2002,1,Spring,sea_star,IP,PISOCH,4,30,3,reference,South Coast,CA South,Government Point to Mexico,California,Mainland,2019-04-05 20:07:59
UCLA,ALEG,Alegria,6420,34.46714020,-120.27738,85,SP02,2002,1,Spring,sea_star,IP,PISOCH,5,40,16,reference,South Coast,CA South,Government Point to Mexico,California,Mainland,2019-04-05 20:07:59
UCLA,ALEG,Alegria,6420,34.46714020,-120.27738,85,SP02,2002,1,Spring,sea_star,IP,PISOCH,6,50,25,reference,South Coast,CA South,Government Point to Mexico,California,Mainland,2019-04-05 20:07:59
UCLA,ALEG,Alegria,6420,34.46714020,-120.27738,85,SP02,2002,1,Spring,sea_star,IP,PISOCH,7,60,27,reference,South Coast,CA South,Government Point to Mexico,California,Mainland,2019-04-05 20:07:59
UCLA,ALEG,Alegria,6420,34.46714020,-120.27738,85,SP02,2002,1,Spring,sea_star,IP,PISOCH,8,70,22,reference,South Coast,CA South,Government Point to Mexico,California,Mainland,2019-04-05 20:07:59
UCLA,ALEG,Alegria,6420,34.46714020,-120.27738,85,SP02,2002,1,Spring,sea_star,IP,PISOCH,9,80,11,reference,South Coast,CA South,Government Point to Mexico,California,Mainland,2019-04-05 20:07:59
UCLA,ALEG,Alegria,6420,34.46714020,-120.27738,85,SP02,2002,1,Spring,sea_star,IP,PISOCH,10,90,2,reference,South Coast,CA South,Government Point to Mexico,California,Mainland,2019-04-05 20:07:59
UCLA,ALEG,Alegria,6420,34.46714020,-120.27738,85,SP02,2002,1,Spring,sea_star,IP,PISOCH,11,100,2,reference,South Coast,CA South,Government Point to Mexico,California,Mainland,2019-04-05 20:07:59
UCLA,ALEG,Alegria,6420,34.46714020,-120.27738,85,SP02,2002,1,Spring,sea_star,IP,PISOCH,12,110,1,reference,South Coast,CA South,Government Point to Mexico,California,Mainland,2019-04-05 20:07:59
UCLA,ALEG,Alegria,6420,34.46714020,-120.27738,85,SP02,2002,1,Spring,sea_star,IP,PISOCH,14,130,1,reference,South Coast,CA South,Government Point to Mexico,California,Mainland,2019-04-05 20:07:59
UCLA,ALEG,Alegria,6420,34.46714020,-120.27738,85,SP02,2002,1,Spring,sea_star,IP,PISOCH,15,140,3,reference,South Coast,CA South,Government Point to Mexico,California,Mainland,2019-04-05 20:07:59
UCLA,ALEG,Alegria,6420,34.46714020,-120.27738,85,SP02,2002,1,Spring,sea_star,IP,PISOCH,16,150,6,reference,South Coast,CA South,Government Point to Mexico,California,Mainland,2019-04-05 20:07:59
UCLA,ALEG,Alegria,6420,34.46714020,-120.27738,85,SP02,2002,1,Spring,sea_star,IP,PISOCH,19,180,1,reference,South Coast,CA South,Government Point to Mexico,California,Mainland,2019-04-05 20:07:59
UCLA,ALEG,Alegria,6420,34.46714020,-120.27738,85,SP02,2002,1,Spring,sea_star,IP,PISOCH,20,190,2,reference,South Coast,CA South,Government Point to Mexico,California,Mainland,2019-04-05 20:07:59
UCLA,ALEG,Alegria,6420,34.46714020,-120.27738,87,FA02,2002,3,Fall,sea_star,IP,PISOCH,4,30,3,reference,South Coast,CA South,Government Point to Mexico,California,Mainland,2019-04-05 20:07:59
UCLA,ALEG,Alegria,6420,34.46714020,-120.27738,87,FA02,2002,3,Fall,sea_star,IP,PISOCH,5,40,11,reference,South Coast,CA South,Government Point to Mexico,California,Mainland,2019-04-05 20:07:59
UCLA,ALEG,Alegria,6420,34.46714020,-120.27738,87,FA02,2002,3,Fall,sea_star,IP,PISOCH,6,50,9,reference,South Coast,CA South,Government Point to Mexico,California,Mainland,2019-04-05 20:07:59
UCLA,ALEG,Alegria,6420,34.46714020,-120.27738,87,FA02,2002,3,Fall,sea_star,IP,PISOCH,7,60,14,reference,South Coast,CA South,Government Point to Mexico,California,Mainland,2019-04-05 20:07:59
UCLA,ALEG,Alegria,6420,34.46714020,-120.27738,87,FA02,2002,3,Fall,sea_star,IP,PISOCH,8,70,29,reference,South Coast,CA South,Government Point to Mexico,California,Mainland,2019-04-05 20:07:59
UCLA,ALEG,Alegria,6420,34.46714020,-120.27738,87,FA02,2002,3,Fall,sea_star,IP,PISOCH,9,80,46,reference,South Coast,CA South,Government Point to Mexico,California,Mainland,2019-04-05 20:07:59
UCLA,ALEG,Alegria,6420,34.46714020,-120.27738,87,FA02,2002,3,Fall,sea_star,IP,PISOCH,10,90,28,reference,South Coast,CA South,Government Point to Mexico,California,Mainland,2019-04-05 20:07:59
UCLA,ALEG,Alegria,6420,34.46714020,-120.27738,87,FA02,2002,3,Fall,sea_star,IP,PISOCH,11,100,21,reference,South Coast,CA South,Government Point to Mexico,California,Mainland,2019-04-05 20:07:59
UCLA,ALEG,Alegria,6420,34.46714020,-120.27738,87,FA02,2002,3,Fall,sea_star,IP,PISOCH,12,110,14,reference,South Coast,CA South,Government Point to Mexico,California,Mainland,2019-04-05 20:07:59
UCLA,ALEG,Alegria,6420,34.46714020,-120.27738,87,FA02,2002,3,Fall,sea_star,IP,PISOCH,13,120,9,reference,South Coast,CA South,Government Point to Mexico,California,Mainland,2019-04-05 20:07:59
UCLA,ALEG,Alegria,6420,34.46714020,-120.27738,87,FA02,2002,3,Fall,sea_star,IP,PISOCH,14,130,5,reference,South Coast,CA South,Government Point to Mexico,California,Mainland,2019-04-05 20:07:59
UCLA,ALEG,Alegria,6420,34.46714020,-120.27738,87,FA02,2002,3,Fall,sea_star,IP,PISOCH,15,140,2,reference,South Coast,CA South,Government Point to Mexico,California,Mainland,2019-04-05 20:07:59
UCLA,ALEG,Alegria,6420,34.46714020,-120.27738,87,FA02,2002,3,Fall,sea_star,IP,PISOCH,16,150,2,reference,South Coast,CA South,Government Point to Mexico,California,Mainland,2019-04-05 20:07:59
UCLA,ALEG,Alegria,6420,34.46714020,-120.27738,87,FA02,2002,3,Fall,sea_star,IP,PISOCH,17,160,4,reference,South Coast,CA South,Government Point to Mexico,California,Mainland,2019-04-05 20:07:59
UCLA,ALEG,Alegria,6420,34.46714020,-120.27738,87,FA02,2002,3,Fall,sea_star,IP,PISOCH,18,170,1,reference,South Coast,CA South,Government Point to Mexico,California,Mainland,2019-04-05 20:07:59
UCLA,ALEG,Alegria,6420,34.46714020,-120.27738,87,FA02,2002,3,Fall,sea_star,IP,PISOCH,19,180,1,reference,South Coast,CA South,Government Point to Mexico,California,Mainland,2019-04-05 20:07:59
UCLA,ALEG,Alegria,6420,34.46714020,-120.27738,87,FA02,2002,3,Fall,sea_star,IP,PISOCH,20,190,2,reference,South Coast,CA South,Government Point to Mexico,California,Mainland,2019-04-05 20:07:59
UCLA,ALEG,Alegria,6420,34.46714020,-120.27738,87,FA02,2002,3,Fall,sea_star,IP,PISOCH,21,200,1,reference,South Coast,CA South,Government Point to Mexico,California,Mainland,2019-04-05 20:07:59
UCLA,ALEG,Alegria,6420,34.46714020,-120.27738,89,SP03,2003,1,Spring,sea_star,IP,PISOCH,4,30,2,reference,South Coast,CA South,Government Point to Mexico,California,Mainland,2019-04-05 20:07:59
UCLA,ALEG,Alegria,6420,34.46714020,-120.27738,89,SP03,2003,1,Spring,sea_star,IP,PISOCH,5,40,9,reference,South Coast,CA South,Government Point to Mexico,California,Mainland,2019-04-05 20:07:59
UCLA,ALEG,Alegria,6420,34.46714020,-120.27738,89,SP03,2003,1,Spring,sea_star,IP,PISOCH,6,50,8,reference,South Coast,CA South,Government Point to Mexico,California,Mainland,2019-04-05 20:07:59
UCLA,ALEG,Alegria,6420,34.46714020,-120.27738,89,SP03,2003,1,Spring,sea_star,IP,PISOCH,7,60,18,reference,South Coast,CA South,Government Point to Mexico,California,Mainland,2019-04-05 20:07:59
UCLA,ALEG,Alegria,6420,34.46714020,-120.27738,89,SP03,2003,1,Spring,sea_star,IP,PISOCH,8,70,16,reference,South Coast,CA South,Government Point to Mexico,California,Mainland,2019-04-05 20:07:59
UCLA,ALEG,Alegria,6420,34.46714020,-120.27738,89,SP03,2003,1,Spring,sea_star,IP,PISOCH,9,80,28,reference,South Coast,CA South,Government Point to Mexico,California,Mainland,2019-04-05 20:07:59
UCLA,ALEG,Alegria,6420,34.46714020,-120.27738,89,SP03,2003,1,Spring,sea_star,IP,PISOCH,10,90,30,reference,South Coast,CA South,Government Point to Mexico,California,Mainland,2019-04-05 20:07:59
UCLA,ALEG,Alegria,6420,34.46714020,-120.27738,89,SP03,2003,1,Spring,sea_star,IP,PISOCH,11,100,17,reference,South Coast,CA South,Government Point to Mexico,California,Mainland,2019-04-05 20:07:59
